precinct,top5CrimeByPrecWTD,Max
19,56.0,Petit Larceny
1,55.0,Petit Larceny
Midtown,54.0,Petit Larceny
43,47.0,Petit Larceny
52,42.0,Petit Larceny
75,41.0,Petit Larceny
79,39.0,Petit Larceny
40,39.0,Petit Larceny
13,36.0,Petit Larceny
109,32.0,Petit Larceny
110,32.0,Petit Larceny
44,31.0,Petit Larceny
48,30.0,Petit Larceny
114,30.0,Petit Larceny
24,30.0,Petit Larceny
25,29.0,Petit Larceny
45,28.0,Petit Larceny
78,28.0,Petit Larceny
17,28.0,Petit Larceny
104,28.0,Petit Larceny
28,26.0,Petit Larceny
115,26.0,Petit Larceny
6,26.0,Petit Larceny
70,26.0,Petit Larceny
46,25.0,Petit Larceny
60,25.0,Petit Larceny
34,25.0,Petit Larceny
105,24.0,Petit Larceny
42,24.0,Petit Larceny
49,24.0,Petit Larceny
71,24.0,Petit Larceny
5,24.0,Petit Larceny
20,24.0,Petit Larceny
112,23.0,Petit Larceny
83,23.0,Petit Larceny
9,22.0,Petit Larceny
77,21.0,Petit Larceny
103,21.0,Petit Larceny
47,21.0,Petit Larceny
67,20.0,Petit Larceny
88,20.0,Petit Larceny
61,19.0,Petit Larceny
50,19.0,Petit Larceny
90,19.0,Petit Larceny
101,19.0,Petit Larceny
30,19.0,Petit Larceny
113,18.0,Petit Larceny
120,18.0,Petit Larceny
63,18.0,Petit Larceny
23,18.0,Petit Larceny
68,18.0,Petit Larceny
72,17.0,Petit Larceny
10,17.0,Petit Larceny
121,17.0,Petit Larceny
122,16.0,Petit Larceny
73,16.0,Petit Larceny
108,16.0,Petit Larceny
69,16.0,Petit Larceny
106,16.0,Petit Larceny
7,15.0,Petit Larceny
107,15.0,Petit Larceny
102,14.0,Petit Larceny
62,13.0,Petit Larceny
84,13.0,Petit Larceny
81,12.0,Petit Larceny
26,11.0,Petit Larceny
32,11.0,Misd. Assault
66,11.0,Petit Larceny
41,10.0,Petit Larceny
76,10.0,Petit Larceny
94,9.0,Petit Larceny
33,9.0,Petit Larceny
111,8.0,Gr. Larceny
100,8.0,Petit Larceny
123,7.0,Petit Larceny
Central,2.0,Petit Larceny
